[connected] Microsoft SQL Server 15.00.2000 as yinjia
== _q_pi_five.sql ==
  | bl_pu_order | 基本数量 | nvarchar | 
  | bl_pu_order | 退货基本数量 | nvarchar | 
  | bl_pu_order | 源单id | nvarchar | 
  | bl_pu_order | 源单id_src_bill_no | nvarchar | 
  | bl_pu_order | 源单id_src_inter_id | nvarchar | 
  | bl_pu_order | 源单分录id | nvarchar | 
  | bl_pu_order | 源单类型id | nvarchar | 
  | bl_pu_order | 源单类型编码 | nvarchar | 
  | bl_pu_order | 源单类型名称 | nvarchar | 
  | bl_pu_order | 源单日期 | nvarchar | 
  | bl_pu_order | 源单行号 | nvarchar | 
[OK] _q_pi_five.sql (5 batches)
